"model","category","data","mac full","param full","mac backbone","param backbone","zen score","az-expressivity","az-progressivity","az-trainability","mAP50-95","meco","mlps","mambas","c2fs","maxvits"
"bench_model_000202.yaml","full mlp","pedro_vtei.yaml",3517148032,9339487,1620473472,2232924,119.7842948,57.27508545,-0.404857397,-1.906488113,0.586400137,14.002621,4,0,0,0
"bench_model_000992.yaml","full heterogeneous","pedro_vtei.yaml",4078778624,8528147,2180634624,1430800,69.88173056,58.23763442,-0.467483521,-2.037099636,0.577879736,14.083643,2,2,0,0
"bench_model_000650.yaml","full heterogeneous","pedro_vtei.yaml",3798939392,9383815,1512726272,793556,51.10067558,54.46180224,-0.460176706,-2.044711519,0.621964697,14.453906,0,2,2,0
"bench_model_000152.yaml","full mlp","pedro_vtei.yaml",1747427008,4390529,822580928,1032334,122.1879003,51.52191901,-0.399144173,-1.965280912,0.585370736,13.530917,4,0,0,0
"bench_model_000956.yaml","full heterogeneous","pedro_vtei.yaml",2748608000,9108939,836058880,1928648,63.93919849,59.13237262,-0.47096777,-1.938067809,0.614186505,14.73799,0,1,3,0
"bench_model_000232.yaml","full mlp","pedro_vtei.yaml",3606161664,9846019,1319948544,1255760,114.9938536,53.89208293,-0.412880182,-1.843647796,0.585044231,13.958398,4,0,0,0
"bench_model_000168.yaml","full mlp","pedro_vtei.yaml",1904533248,5136851,702284288,711856,94.36520743,50.50867438,-0.39689517,-1.916909416,0.584915231,13.713168,4,0,0,0
"bench_model_000744.yaml","full heterogeneous","pedro_vtei.yaml",1888644800,5839837,950740160,2413290,83.66623795,57.03124261,-0.868741274,-2.353248288,0.56646503,13.6854925,2,1,0,1
"bench_model_000138.yaml","full mlp","pedro_vtei.yaml",900650560,2156541,421715520,505194,69.32661664,47.60018706,-0.399524212,-1.677679961,0.583226682,13.232258,4,0,0,0
"bench_model_000564.yaml","full heterogeneous","pedro_vtei.yaml",3575906048,9790007,1283129088,1163908,31.29706842,57.13322926,-0.414605141,-2.221495063,0.556698931,14.344726,0,2,1,1
"bench_model_000222.yaml","full mlp","pedro_vtei.yaml",1552114048,4105835,630962048,763768,132.6561801,49.29427052,-0.405433178,-2.205650402,0.583164376,13.507245,4,0,0,0
"bench_model_000786.yaml","full heterogeneous","pedro_vtei.yaml",2072722944,6605427,543696384,913696,41.37301278,53.75680423,-0.432190657,-2.274985597,0.569090121,14.436345,0,2,2,0
"bench_model_000792.yaml","full heterogeneous","pedro_vtei.yaml",2898890240,7224235,1349537280,1481304,36.35250151,60.28328037,-0.389927387,-1.808539066,0.578331018,14.325888,0,1,2,1
"bench_model_000862.yaml","full heterogeneous","pedro_vtei.yaml",2681787072,7853769,1135700672,2093430,86.92246962,58.22263765,-0.337603807,-1.923077801,0.602290908,14.562843,1,0,2,1
"bench_model_000548.yaml","full heterogeneous","pedro_vtei.yaml",3165185088,8085957,1274419008,1015106,84.59098792,54.63881445,-0.416522026,-2.030513958,0.55349762,14.020507,2,0,1,1
"bench_model_000238.yaml","full mlp","pedro_vtei.yaml",2870713664,8875761,1331846464,3147166,139.4192743,57.25944233,-0.404123783,-2.09474632,0.582689669,13.822208,4,0,0,0
"bench_model_000942.yaml","full heterogeneous","pedro_vtei.yaml",1980426240,5465847,767266560,998740,54.45061737,54.39570904,-0.537517309,-2.185353954,0.56541661,13.983598,0,2,2,0
"bench_model_000032.yaml","full c2f","pedro_vtei.yaml",1090904320,3165835,401018880,707656,55.17632568,54.06521606,-0.30484724,-1.627187066,0.582501831,14.429788,0,0,4,0
"bench_model_000988.yaml","full heterogeneous","pedro_vtei.yaml",1378690368,5121749,685512768,2639890,77.12804842,55.99869728,-0.388559103,-1.862887274,0.577700283,13.787275,2,1,1,0
"bench_model_000192.yaml","full mlp","pedro_vtei.yaml",3843405056,9776843,1559644416,1178904,114.2410922,54.06136012,-0.394850492,-1.860159816,0.582472288,14.008706,4,0,0,0
"bench_model_000020.yaml","full c2f","pedro_vtei.yaml",2431799040,7848811,874225920,2040344,56.98347652,60.49054432,-0.272990704,-1.862382546,0.582344882,14.781064,0,0,4,0
"bench_model_000540.yaml","full heterogeneous","pedro_vtei.yaml",1176476992,3352417,687519552,1659086,75.36342597,54.67602587,-0.354467154,-1.723846023,0.588571927,13.934253,2,0,2,0
"bench_model_000086.yaml","full c2f","pedro_vtei.yaml",1472517120,4758955,269121280,333064,54.58447123,49.54133415,-0.380125046,-1.428316609,0.58183775,14.346986,0,0,4,0
"bench_model_000190.yaml","full mlp","pedro_vtei.yaml",2826618944,7373213,1295301184,1683530,129.2693732,55.13985586,-0.384548187,-2.006747517,0.581508604,13.803924,4,0,0,0
"bench_model_000132.yaml","full mlp","pedro_vtei.yaml",1303498432,3018037,624080832,602098,117.3486686,48.18078232,-0.420846939,-1.933399076,0.58138236,13.490998,4,0,0,0
"bench_model_000196.yaml","full mlp","pedro_vtei.yaml",1779011264,4972201,849239744,1591734,116.3805711,53.90057135,-0.402691126,-2.018569049,0.58129804,13.55943,4,0,0,0
"bench_model_000170.yaml","full mlp","pedro_vtei.yaml",2397796864,7665147,865818624,1964200,118.5577514,54.37646985,-0.391902685,-1.856029612,0.581070225,13.754146,4,0,0,0
"bench_model_000234.yaml","full mlp","pedro_vtei.yaml",1552873984,3707579,868733184,1269240,113.6677709,52.30159807,-0.406476498,-1.844820953,0.580542356,13.576238,4,0,0,0
"bench_model_000048.yaml","full c2f","pedro_vtei.yaml",785648640,2164131,301788160,495888,60.86832684,51.18802619,-0.272654295,-1.617644462,0.580491934,14.263678,0,0,4,0
"bench_model_000134.yaml","full mlp","pedro_vtei.yaml",1930121152,4645333,1003552192,1281762,126.6055665,52.94355488,-0.421641827,-1.993872454,0.580267487,13.598746,4,0,0,0
"bench_model_000778.yaml","full heterogeneous","pedro_vtei.yaml",3421731200,9305287,1522473600,2190660,101.4913793,57.98315597,-0.412104607,-2.325793413,0.59690056,14.045479,2,2,0,0
"bench_model_000130.yaml","full mlp","pedro_vtei.yaml",1458221376,3311113,973045056,1635702,139.3121097,53.13017845,-0.412915468,-2.057555097,0.57997957,13.318982,4,0,0,0
"bench_model_000710.yaml","full heterogeneous","pedro_vtei.yaml",3432251840,9598593,1146852800,995534,54.74796176,54.63876081,-0.42882061,-2.215311195,0.601961314,14.0129175,2,2,0,0
"bench_model_000762.yaml","full heterogeneous","pedro_vtei.yaml",1416113920,4324967,481913600,928372,43.15370363,54.65719438,-0.489018917,-1.973253981,0.567443151,14.045479,0,2,2,0
"bench_model_000732.yaml","full heterogeneous","pedro_vtei.yaml",1452118080,3263725,761620800,807466,64.68140066,54.98279858,-0.294072151,-1.577393024,0.603726904,14.182152,1,0,3,0
"bench_model_000536.yaml","full heterogeneous","pedro_vtei.yaml",2383219200,6588231,1164025600,2088868,108.9496679,57.44783783,-0.378404617,-2.066553607,0.595593448,13.8626995,2,0,1,1
"bench_model_000658.yaml","full heterogeneous","pedro_vtei.yaml",1452600064,3773511,530465024,430676,37.66672176,50.58504272,-0.341498613,-1.524745731,0.567375218,13.649881,1,0,1,2
"bench_model_000746.yaml","full heterogeneous","pedro_vtei.yaml",2703825920,7048555,1162997760,1332248,55.41672802,57.88620758,-0.381606817,-1.982049976,0.605920085,14.097737,0,1,2,1
"bench_model_000772.yaml","full heterogeneous","pedro_vtei.yaml",3119379968,8963051,1569356288,3187352,65.23886049,60.71157432,-0.462684631,-2.152154166,0.585079137,14.848097,1,1,1,1
"bench_model_000606.yaml","full heterogeneous","pedro_vtei.yaml",2897415488,7516913,1361179968,1811870,80.52312064,56.90075302,-0.799141407,-2.290217906,0.569238829,13.997832,2,1,1,0
"bench_model_000066.yaml","full c2f","pedro_vtei.yaml",1172710400,3349859,482208000,887840,64.64138412,54.36135364,-0.305608273,-1.692490381,0.57795881,14.618408,0,0,4,0
"bench_model_000142.yaml","full mlp","pedro_vtei.yaml",1875264832,5568909,669854272,1125994,99.07747912,51.97133875,-0.387352467,-1.835439984,0.57779142,13.721288,4,0,0,0
"bench_model_000952.yaml","full heterogeneous","pedro_vtei.yaml",2016370176,6511091,484066816,815264,35.73961264,54.02925754,-0.450592995,-1.99052119,0.586501256,13.889801,0,2,1,1
"bench_model_000966.yaml","full heterogeneous","pedro_vtei.yaml",3108863744,8438691,1209245184,1343648,42.49872422,57.30862331,-0.402039528,-2.3518378,0.601905071,14.847869,0,2,2,0
"bench_model_000104.yaml","full c2f","pedro_vtei.yaml",2761593600,8672299,853844480,1520808,60.99286067,58.81003094,-0.306445122,-1.710233096,0.577424061,14.851964,0,0,4,0
"bench_model_000178.yaml","full mlp","pedro_vtei.yaml",1288407808,3594151,803226368,1914132,129.18694,52.93082619,-0.422092676,-2.11675316,0.577026053,13.303083,4,0,0,0
"bench_model_000670.yaml","full heterogeneous","pedro_vtei.yaml",2341644800,7446259,797534720,1707424,42.52087522,58.07238531,-0.316829681,-1.692718849,0.598962161,14.528931,0,0,2,2
"bench_model_000634.yaml","full heterogeneous","pedro_vtei.yaml",1629710016,4630477,703141056,1266906,93.95358884,52.65386128,-0.455660105,-1.944568734,0.589676843,13.598746,3,1,0,0
"bench_model_000210.yaml","full mlp","pedro_vtei.yaml",1619786752,4745483,692477952,1375000,101.8737156,52.94228101,-0.402273178,-1.866823584,0.575329856,13.541916,4,0,0,0
"bench_model_000054.yaml","full c2f","pedro_vtei.yaml",3176798720,9878955,874583040,1196536,59.32975042,57.99343181,-0.301143646,-1.720186391,0.575197025,14.879946,0,0,4,0
"bench_model_000062.yaml","full c2f","pedro_vtei.yaml",1202293760,3400867,510557440,931168,64.24551988,54.70441532,-0.307626247,-1.716468941,0.575042624,14.653347,0,0,4,0
"bench_model_000974.yaml","full heterogeneous","pedro_vtei.yaml",968729600,2399603,482903040,726752,58.76580811,52.29289389,-0.710147142,-1.919836298,0.580696772,13.921959,0,1,3,0
"bench_model_000174.yaml","full mlp","pedro_vtei.yaml",2435906368,5046461,1507128128,1680586,131.5273943,54.93125343,-0.406428099,-1.94574721,0.574606893,13.670439,4,0,0,0
"bench_model_000928.yaml","full heterogeneous","pedro_vtei.yaml",2140171648,6902495,604916608,1197452,79.36080849,55.18791652,-0.339361191,-1.711212199,0.59030768,14.580122,1,0,3,0
"bench_model_000754.yaml","full heterogeneous","pedro_vtei.yaml",2052814848,5309251,1117869568,1903440,83.24804664,57.07850671,-0.375477791,-1.872428855,0.570481921,13.684034,2,0,0,2
"bench_model_000184.yaml","full mlp","pedro_vtei.yaml",2617183296,8706173,1078966336,2973482,111.5811727,56.63818407,-0.38996911,-1.862518303,0.572991724,13.81519,4,0,0,0
"bench_model_000568.yaml","full heterogeneous","pedro_vtei.yaml",1506185472,5492755,813012992,3016656,98.09470272,56.75684118,-0.365018845,-1.717848385,0.57100375,13.898675,2,0,1,1
"bench_model_000776.yaml","full heterogeneous","pedro_vtei.yaml",2320528640,5932159,1103065600,1454300,53.01929426,56.97145891,-1.273929358,-2.011610595,0.592179148,14.000495,1,1,1,1
"bench_model_000008.yaml","full c2f","pedro_vtei.yaml",1373223680,4624019,435567360,1200544,65.06204212,54.91779518,-0.338281631,-1.79816011,0.572669642,14.483217,0,0,4,0
"bench_model_000186.yaml","full mlp","pedro_vtei.yaml",1122917888,2812415,444936448,402876,90.522246,46.35681987,-0.39756465,-1.726838743,0.571736851,13.481659,4,0,0,0
